Virginia,3.4,0.8,0.7,1.2,0.0,2.1,1.2,2.0,2.4,2.5,5.8,2.7,2.9
Washington,3.2,2.0,3.6,3.1,3.8,4.5,4.0,6.3,6.6,4.8,6.9,2.2,5.1
West Virginia,1.3,1.9,-0.1,1.1,0.2,0.2,-1.0,2.3,3.0,-0.3,1.6,1.9,4.7
Wisconsin,3.7,2.1,1.8,0.9,2.6,2.0,1.1,0.8,2.2,1.3,3.7,1.6,1.4
Wyoming,-3.6,-0.5,-2.2,0.9,2.3,2.0,-5.5,-0.6,0.9,1.6,2.6,1.9,6.3
New England,3.1,0.6,1.4,0.0,1.4,3.1,1.0,1.6,2.2,2.2,5.6,2.4,1.8
Mideast,3.3,0.8,2.5,1.0,1.8,2.0,1.5,1.5,2.1,1.7,4.7,2.0,1.8
Great Lakes,3.7,2.2,1.7,1.7,2.5,1.4,1.0,1.4,2.0,1.3,5.6,2.0,1.5
Plains,3.0,2.2,2.6,1.6,2.9,2.1,0.9,1.1,1.9,1.1,5.4,1.8,2.5
Southeast,2.3,0.6,1.3,1.7,2.0,2.8,2.2,2.6,2.5,2.5,6.8,3.5,3.1
Southwest,2.4,3.3,4.4,4.0,3.1,4.2,0.3,2.2,4.3,3.4,5.8,3.5,6.7
Rocky Mountain,1.4,1.8,1.2,3.5,3.9,3.9,2.2,3.9,4.6,4.8,7.1,3.2,4.1
Far West,2.1,1.8,2.7,3.2,3.4,4.6,3.2,4.6,4.2,4.0,7.3,1.4,2.6
